query,class_label
要带有效营业执照复印件吗,1
我是石油公司的,0
我是阿里的,0
我是中国银行的,0
我是美团的,0
我属于企业客户,0
营业执照复印件是啥,0
营业执照复印件也要吗,1
营业执照复印件？？,1
营业执照复印件需要吗,1
我需要要带有业执照复印件吗,1
请问要带营业执照复印件吗,1
我是机关事业单位的,0
我是北京邮电大学的,0
我是北邮的,0
我是医院的,0
我是国企的,0
事业法人证书需要拿着吗,1
需要带着组织机构代码证复印件吗,1
事业法人证书或组织机构代码证复印件也要吗,1
需不需要要事业法人证书或组织机构代码证复印件吗,1
要带着事业法人证书吗,1
我属于中国人民解放军的,0
我是武警内卫部队的,0
我是中国人民武装警察部队的,0
我是广州军区的,0
我是中华人民共和国警察,0
团级及以上证明是什么,0
团级及以上证明是指,0
什么才是团级及以上证明,0
团级及以上证明也要吗,1
我只带了团级及以上证明,1
请问要团级及以上证明吗,1
是不是需要团级及以上证明,1
团级及以上提供证明,1
同意报装证明是指,0
同意报装证明是什么,0
同意报装证明包括什么,0
要带同意报装证明吗,1
房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）是啥,0
房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）是什么,0
房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）包括啥,0
要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,1
我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,1
房产证复印件是什么,0
要带房产证复印件吗,1
房产证复印件需要吗,1
我在我们村里办电,0
我家是农村的,0
乡镇及以上政府或规划部门的批复文件是什么,0
乡镇及以上政府或规划部门的批复文件是指,0
要带着乡镇及以上政府或规划部门的批复文件嘛,1
乡镇及以上政府或规划部门的批复文件也要吗,1
乡镇及以上政府或规划部门的批复文件呢,1
我需要带乡镇及以上政府或规划部门的批复文件嘛,1
要乡镇及以上政府或规划部门的批复文件吗,1
我这里是新盖的,0
我这里是新建的,0
这个楼刚建好几天,0
是新建建筑物,0
新建的,0
立项、规划批复文件是啥,0
立项、规划批复文件是什么,0
什么是立项、规划批复文件,0
要立项、规划批复文件吗,1
要带立项、规划批复文件吗,1
需要带着立项、规划批复文件吗,1
我需要带立项、规划批复文件吗,1
需不需要带立项、规划批复文件,1
需要带立项文件吗,1
规划批复文件是什么,0
规划批复文件包括什么,0
什么是规划批复文件啊,0
要带规划批复文件吗,1
规划批复文件是不是也需要带着？,1
规划批复文件需要吗,1
立项、规划批复文件呢,1
国家给了优惠,0
当时有优惠,0
是优惠价格,0
我这属于优惠价格,0
是打折后的价格,0
政府有关部门核发公益证明是,0
政府有关部门核发公益证明是指什么,0
需不需要政府有关部门核发公益证明,1
我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗,1
需要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）,1
需要带着政府有关部门核发的资质证明嘛,1
需要带政府有关部门核发的资质证明和公益证明吗,1
外部工程施工不太懂呢,0
什么是外部工程施工,0
外部工程施工具体指什么,0
外部工程施工什么意思？,0
啥是外部工程施工,0
装接电表，不是很明白,0
装接电表是指？？,0
装接电表是啥,0
装接电表是？,0
不清楚装接电表是指啥,0
3000v,0
大于1000伏,0
6kv,0
2000v,0
1kv,0
主体证明包括什么,0
主体证明是指,0
主体证明是啥,0
什么是主体证明啊,0
什么是主体证明呢,0
要主体证明吗,1
需不需要主题证明？,1
主体证明是不是也要？,1
带了主体证明,1
主体证明，要带嘛,1
我是宝洁员工,0
我属于企业,0
我代表公司来的,0
我们公司派我来的,0
我给我们公司办,0
我是北大的,0
我是北医三院的,0
我是机关事业单位的,0
我是北京师范大学的,0
我是红十字协会的,0
被授权经办的身份证复印件是什么,0
要带着被授权经办的身份证复印件吗,1
企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件是指,0
要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,1
需不需要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,1
需要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,1
需要带法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,1
报装申请资料是什么,0
什么是报装申请资料,0
报装申请资料是啥,0
报装申请资料包括,0
报装申请资料包括什么,0
要报装申请资料吗,1
需不需要报装申请资料,1
现在我只有报装申请资料,1
请问报装申请资料需要带吗,1
报装申请资料也需要带吗,1
需不需要客户用电设备信息登记表（动力、照明）,1
要拿着客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,1
要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,1
客户用电报装申请书也要吗,1
要带着客户用电设备信息登记表（动力、照明）吗,1
客户用电报装申请书是指,0
房屋产权证明是啥,0
房屋产权证明呢,1
要房屋产权证明嘛,1
需不需要带房屋产权证明,1
要带着房屋产权证明是吗？,1
请问需要房屋产权证明吗,1
我替房东来的,0
是我租的,0
我不是房主，我是租客,0
这房子是我租的,0
租房,0
租赁协议复印件及产权人同意报装证明材料包括什么,0
我需要带租赁协议复印件及产权人同意报装证明材料吗,1
要租赁协议复印件及产权人同意报装证明材料吗,1
我需要带着产权人同意报装证明材料吗,1
请问我需要租赁协议复印件及产权人同意报装证明材料吗,1
我需要带租赁协议复印件吗,1
合法的土地使用证明都有什么,0
合法的土地使用证明包括什么,0
合法的土地使用证明是啥,0
需要合法的土地使用证明吗,1
合法的土地使用证明要带着吗,1
我需带着国有土地使用证吗,1
合法的土地使用证明要吗,1
土地使用证是什么,0
需要国有土地使用证吗,1
需要产权人同意报装证明材料吗,1
要土地租赁协议及产权人同意报装证明材料吗,1
要带着土地租赁协议及产权人同意报装证明材料吗,1
土地租赁协议及产权人同意报装证明材料都要吗,1
需要带着土地租赁协议及产权人同意报装证明材料吗,1
由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明是指,0
由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明是什么,0
由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明也需要吗,1
由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明是不是也要？,1
由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明也是需要的吗,1
所在乡、镇或乡镇以上级别政府部门根据所辖权限开据的证明也得带着？,1
由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明需要吗,1
八折电价,0
七折电价,0
当时电价有优惠,0
电价打了折,0
当时电价有打折,0
政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）也要吗,1
要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗,1
需要带着政府有关部门核发的资质证明嘛,1
需要拿着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗,1
我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗,1
项目立项及批复是什么,0
什么是项目立项及批复,0
项目立项及批复包括什么,0
项目立项及批复都有什么啊,0
项目立项及批复不太懂,0
要带项目立项及批复吗,1
需要带项目立项及批复吗,1
要准备项目立项及批复吗,1
项目立项及批复也需要吗,1
我需要带着项目立项及批复吗,1
需不需要立项批准文件吗,1
需要上级批准文件吗,1
要带着上级批准文件吗,1
要带上级批准文件吗,1
要带着立项批准文件吗,1
要规划立项,0
需不需要建设工程规划许可证及附件,1
需要要建设工程规划许可证附件吗,1
建设工程规划许可证及附件也要带着吗,1
建设工程规划许可证附件也要带着吗,1
我需要带建设工程规划许可证及附件吗,1
我是做烧碱的,0
我是做黄磷的,0
我是做钢铁的,0
我是做电解铝的,0
我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户,0
我要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等嘛,1
要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗,1
相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等也要吗,1
相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等都需要吗,1
生产许可证需要嘛？,1
方案答复不太清楚怎么做,0
方案答复是哪一步？,0
方案答复的话，需要我怎么做呢,0
方案答复这一步我需要做什么？,0
方案答复是？,0
装表接电是指？？,0
装表接电是？,0
不清楚装表接电是指啥,0
装表接电是怎么回事,0
装表接电具体指什么,0
