user_q,std_q,match_label,class_label
"我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,是我租的房子",1,1,"26,45"
"要主体证明吗,要合法的土地使用证明吗",1,1,"38,47"
"我是小区用户,需要带建设工程规划许可证及附件吗",1,1,"3,55"
"是我租的房子,当时电价有打折",1,1,"45,50"
"我需要带客户有效身份证明吗,装接电表是？",1,1,"7,36"
"要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,是国家优惠电价",1,1,"41,50"
"需要带房产证吗,我是代表学校来的",1,1,"14,22"
"我替我家里来办,这房子是我租的",1,1,"11,45"
"我是代表公司来的,装表接电具体指什么",1,1,"20,59"
"要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,外部工程施工指什么",1,1,"26,35"
"我需要要带有业执照复印件吗,我是军队的",1,1,"21,24"
"我需要要带有业执照复印件吗,要立项、规划批复文件吗",1,1,"21,30"
"我需要带护照吗,我需要要带有业执照复印件吗",1,1,"9,21"
"要带营业执照复印件吗,要带项目立项及批复吗",1,1,"21,52"
"我需要带户口簿吗,装表接电是？",1,1,"10,59"
"要带委托人的身份证明吗,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗",1,1,"12,51"
"带什么呢,我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗",1,1,"6,26"
"是国家优惠价,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"33,57"
"要带委托授权书吗,要乡镇及以上政府或规划部门的批复文件吗",1,1,"13,28"
"需要带立项文件吗,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"31,41"
"我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,方案答复具体指什么",1,1,"18,58"
"需要带什么吗,要合法的土地使用证明吗",1,1,"6,47"
"我替我家里来办,需要带政府的批复文件吗",1,1,"11,16"
"要带委托人的身份证明吗,我这算是私人宅基地建筑",1,1,"12,15"
"要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,装接电表是？",1,1,"18,36"
"要带立项、规划批复文件吗,装接电表具体指什么",1,1,"30,36"
"委托人的身份证明需要吗,委托授权书也要吗",1,1,"12,13"
"委托授权书也要吗,要租赁协议复印件及产权人同意报装证明材料吗",1,1,"13,46"
"我是机关事业单位的,装表接电是？",1,1,"40,59"
"我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,要乡镇及以上政府或规划部门的批复文件吗",1,1,"18,28"
我需要要带有效营业执照复印件和房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,1,1,"19,26"
"是我租的房子,我需要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"45,57"
"要带营业执照复印件吗,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗",1,1,"21,34"
"外部工程施工具体指什么,要建设工程规划许可证及附件吗",1,1,"35,55"
"要团级及以上证明吗,装接电表具体指什么",1,1,"25,36"
"带什么呢,装接电表是？",1,1,"6,36"
"需要带立项文件吗,我代表公司来的",1,1,"31,39"
"申请受理这一步包括什么,我需要拿户口簿吗",1,1,"5,10"
"带什么呢,要带身份证吗",1,1,"6,8"
"需要带租赁协议复印件吗,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗",1,1,"14,34"
"国家给了优惠,方案答复这一步我需要做什么？",1,1,"33,58"
"要事业法人证书或组织机构代码证复印件吗,要土地租赁协议及产权人同意报装证明材料吗",1,1,"23,48"
"需要带房产证吗,是我租的房子",1,1,"14,45"
"要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,要合法的土地使用证明吗",1,1,"43,47"
"我需要要带有效营业执照复印件吗,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"19,41"
"我这算是私人宅基地建筑,要带立项、规划批复文件吗",1,1,"15,30"
"我这里是新建的,需要带建设工程规划许可证及附件吗",1,1,"29,55"
"我需要带客户有效身份证明吗,装接电表具体指什么",1,1,"7,36"
"要带营业执照复印件吗,需要带立项文件吗",1,1,"21,31"
"我是低压用户,这房子是我租的",1,1,"2,45"
"委托人的身份证明需要吗,是国家优惠价",1,1,"12,33"
我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）和建设工程规划许可证及附件吗,1,1,"34,55"
"我在我们村里办电,要上级批准文件吗",1,1,"27,53"
"我是非居民,方案答复这一步我需要做什么？",1,1,"17,58"
"低压用户,我是代表学校来的",1,1,"2,22"
"需不需要乡镇及以上政府或规划部门的批复文件,我这里是新盖的",1,1,"28,29"
"我属于企业,我需要带着租赁协议复印件及产权人同意报装证明材料吗",1,1,"39,46"
"我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,我需要要带有业执照复印件吗",1,1,"18,21"
"带什么呢,外部工程施工指什么",1,1,"6,35"
"我这里是新建的,高压",1,1,"29,37"
"我替我家里来办,要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗",1,1,"11,43"
"护照需要吗,我需要拿户口簿吗",1,1,"9,10"
"要带规划批复文件吗,外部工程施工具体指什么",1,1,"32,35"
"我需要拿户口簿吗,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗",1,1,"10,18"
"要带有效营业执照复印件吗,要合法的土地使用证明吗",1,1,"19,47"
"我是小区用户,要带委托授权书吗",1,1,"3,13"
"我需要带护照吗,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗",1,1,"9,34"
"需不需要报装申请资料,要房屋产权证明吗",1,1,"42,44"
"我替我朋友来办,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗",1,1,"11,51"
"要带客户有效身份证明吗,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗",1,1,"7,34"
"我这里是新建的,要上级批准文件、立项批准文件吗",1,1,"29,53"
"申请受理，我要怎么做,方案答复这一步我需要做什么？",1,1,"5,58"
"要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗,我是高压用户",1,1,"34,37"
"我需要拿户口簿吗,需不需要乡镇及以上政府或规划部门的批复文件",1,1,"10,28"
"低压用户,要租赁协议复印件及产权人同意报装证明材料吗",1,1,"2,46"
"低压,如何办电？",1,1,"2,4"
"我需要带户口簿吗,是不是需要团级及以上证明",1,1,"10,25"
"要事业法人证书或组织机构代码证复印件吗,我是机关事业单位的",1,1,"23,40"
"我这算是私人宅基地建筑,是我租的房子",1,1,"15,45"
"需要带立项文件吗,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗",1,1,"31,34"
"我是代表学校来的,要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗",1,1,"22,51"
"我是做钢铁的,方案答复具体指什么",1,1,"56,58"
"我是小区居民,要项目立项及批复吗",1,1,"3,52"
"我需要拿户口簿吗,要带着土地租赁协议及产权人同意报装证明材料吗",1,1,"10,48"
"我是军队的,是国家优惠电价",1,1,"24,50"
"国家给了优惠,要房屋产权证明嘛",1,1,"33,44"
"我属于企业,装表接电具体指什么",1,1,"39,59"
"需要带政府的批复文件吗,要带立项、规划批复文件吗",1,1,"16,30"
"我是机关事业单位的,要合法的土地使用证明吗",1,1,"40,47"
"要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗,我是机关事业单位的",1,1,"34,40"
"我替我朋友来办,我需要要带有业执照复印件吗",1,1,"11,21"
"要带委托人的身份证明吗,需要带租赁协议复印件吗",1,1,"12,14"
"要带规划批复文件吗,装表接电是？",1,1,"32,59"
"要带规划批复文件吗,高压",1,1,"32,37"
"我是代表我们公司来的,外部工程施工具体指什么",1,1,"20,35"
"我家是农村的,这房子是我租的",1,1,"27,45"
"要带客户有效身份证明吗,要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗",1,1,"7,43"
"要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,要合法的土地使用证明吗",1,1,"43,47"
"需要带什么吗,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户",1,1,"6,56"
"我需要带护照吗,装表接电具体指什么",1,1,"9,59"
"要带营业执照复印件吗,要上级批准文件、立项批准文件吗",1,1,"21,53"
"要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,要房屋产权证明嘛",1,1,"41,44"
"我需要带护照吗,要团级及以上证明吗",1,1,"9,25"
"我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,我代表公司来的",1,1,"18,39"
"我是代表学校来的,外部工程施工具体指什么",1,1,"22,35"
"装接电表具体指什么,装表接电具体指什么",1,1,"36,59"
"带什么呢,我是代表公司来的",1,1,"6,20"
"我这算是私人宅基地建筑,我是代表学校来的",1,1,"15,22"
"外部工程施工具体指什么,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户",1,1,"35,56"
"我替我家里来办,装接电表具体指什么",1,1,"11,36"
"我需要带护照吗,需要带租赁协议复印件吗",1,1,"9,14"
"您好，我想问一下怎么办电呢,需不需要乡镇及以上政府或规划部门的批复文件",1,1,"4,28"
"低压用户,我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗",1,1,"2,18"
"要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗,要上级批准文件、立项批准文件吗",1,1,"34,53"
"我是非居民,我是代表学校来的",1,1,"17,22"
"我是代表公司来的,要团级及以上证明吗",1,1,"20,25"
"要带项目立项及批复吗,要上级批准文件、立项批准文件吗",1,1,"52,53"
"我是小区居民,需要带立项文件吗",1,1,"3,31"
"我属于企业,是我租的房子",1,1,"39,45"
"要带身份证吗,我需要带建设工程规划许可证及附件吗",1,1,"8,55"
"委托人的身份证明需要吗,我不是居民",1,1,"12,17"
"我是代表机关事业单位来的,是国家优惠电价",1,1,"40,50"
"申请受理，我要怎么做,要上级批准文件吗",1,1,"5,53"
"低压,我需要要带有业执照复印件吗",1,1,"2,21"
"我替我朋友来办,我是军队的",1,1,"11,24"
"要上级批准文件、立项批准文件吗,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户",1,1,"53,56"
"需要带政府的批复文件吗,国家给了优惠",1,1,"16,33"
"要带项目立项及批复吗,装表接电具体指什么",1,1,"52,59"
"外部工程施工具体指什么,我需要带建设工程规划许可证及附件吗",1,1,"35,55"
"我是军队的,要规划立项",1,1,"24,54"
"我是代表公司来的,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"20,57"
"我需要带身份证吗,要立项、规划批复文件吗",1,1,"8,30"
"我需要带护照吗,外部工程施工指什么",1,1,"9,35"
"要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,要规划立项",1,1,"43,54"
"要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户",1,1,"51,56"
"我需要带建设工程规划许可证及附件吗,方案答复这一步我需要做什么？",1,1,"55,58"
"我是机关事业单位的,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"40,41"
"要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,要土地租赁协议及产权人同意报装证明材料吗",1,1,"41,48"
"需要带租赁协议复印件吗,要合法的土地使用证明吗",1,1,"14,47"
"我属于企业,方案答复具体指什么",1,1,"39,58"
"要合法的土地使用证明吗,方案答复这一步我需要做什么？",1,1,"47,58"
"我是小区居民,要带立项、规划批复文件吗",1,1,"3,30"
"带什么呢,是我租的房子",1,1,"6,45"
"我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,我代表公司来的",1,1,"26,39"
"要带身份证吗,要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"8,49"
"国家给了优惠,要主体证明吗",1,1,"33,38"
"需要带立项文件吗,装接电表具体指什么",1,1,"31,36"
"要乡镇及以上政府或规划部门的批复文件吗,是不是也要主体证明",1,1,"28,38"
"申请受理这一步包括什么,我这里是新盖的",1,1,"5,29"
"委托授权书也要吗,我在我们村里办电",1,1,"13,27"
"我是军队的,规划批复文件是不是也需要带着？",1,1,"24,32"
"要房屋产权证明吗,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"44,57"
"我需要带客户有效身份证明吗,需要带立项文件吗",1,1,"7,31"
"我是小区用户,需要带规划部门的批复文件吗",1,1,"3,16"
"护照需要吗,我需要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"9,57"
"我在我们村里办电,装接电表是？",1,1,"27,36"
"申请受理，我要怎么做,需要要带有业执照复印件吗",1,1,"5,21"
"要带客户有效身份证明吗,我这算是私人宅基地建筑",1,1,"7,15"
"要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗",1,1,"43,51"
"要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗",1,1,"26,51"
"我需要要带有效营业执照复印件吗,我是做钢铁的",1,1,"19,56"
"需要带租赁协议复印件吗,要上级批准文件、立项批准文件吗",1,1,"14,53"
"要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,我是代表学校来的",1,1,"18,22"
"我是小区居民,要带项目立项及批复吗",1,1,"3,52"
"我是代表机关事业单位来的,要房屋产权证明吗",1,1,"40,44"
"低压用户,方案答复这一步我需要做什么？",1,1,"2,58"
"低压用户,是不是需要团级及以上证明",1,1,"2,25"
"委托人的身份证明需要吗,我是军队的",1,1,"12,24"
"我是低压用户,要主体证明吗",1,1,"2,38"
"我是小区居民,要带规划批复文件吗",1,1,"3,32"
"您好，我想问一下怎么办电呢,要报装申请资料吗",1,1,"4,42"
"需不需要乡镇及以上政府或规划部门的批复文件,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"28,57"
"申请受理这一步包括什么,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗",1,1,"5,51"
"我需要带护照吗,我这里是新盖的",1,1,"9,29"
"是国家优惠电价,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户",1,1,"50,56"
"申请受理这一步包括什么,我是机关事业单位的",1,1,"5,40"
"高压,要租赁协议复印件及产权人同意报装证明材料吗",1,1,"37,46"
"我是非居民,我是军队的",1,1,"17,24"
"我替我家里来办,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"11,41"
"要房屋产权证明嘛,我是做钢铁的",1,1,"44,56"
"委托人的身份证明需要吗,我这算是私人宅基地建筑",1,1,"12,15"
"您好，我想问一下怎么办电呢,要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"4,49"
"我代表公司来的,要房屋产权证明吗",1,1,"39,44"
"我代表公司来的,装表接电是？",1,1,"39,59"
"我是军队的,当时电价有打折",1,1,"24,50"
"低压,委托授权书也要吗",1,1,"2,13"
"我替我家里来办,要事业法人证书或组织机构代码证复印件吗",1,1,"11,23"
"我不是居民,需不需要乡镇及以上政府或规划部门的批复文件",1,1,"17,28"
"如何办电？,我需要带户口簿吗",1,1,"4,10"
"要带营业执照复印件吗,装接电表是？",1,1,"21,36"
"外部工程施工具体指什么,我是做钢铁的",1,1,"35,56"
"需要带房产证吗,我是高压用户",1,1,"14,37"
"委托人的身份证明需要吗,我是军队的",1,1,"12,24"
"我家是农村的,请问要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"27,49"
"我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,要带有效营业执照复印件吗",1,1,"18,19"
"我需要要带有业执照复印件吗,我是代表机关事业单位来的",1,1,"21,40"
"要乡镇及以上政府或规划部门的批复文件吗,要上级批准文件、立项批准文件吗",1,1,"28,53"
"我需要带客户有效身份证明吗,要主体证明吗",1,1,"7,38"
"我需要带护照吗,需不需要乡镇及以上政府或规划部门的批复文件",1,1,"9,28"
"这房子是我租的,我需要带着租赁协议复印件及产权人同意报装证明材料吗",1,1,"45,46"
"我是军队的,装接电表具体指什么",1,1,"24,36"
"要带身份证吗,要带项目立项及批复吗",1,1,"8,52"
"我是小区用户,需要要带有业执照复印件吗",1,1,"3,21"
"低压用户,带什么",1,1,"2,6"
"护照需要吗,高压",1,1,"9,37"
"我替我家里来办,我属于企业",1,1,"11,39"
"我这里是新盖的,要规划立项",1,1,"29,54"
"是不是也要主体证明,要合法的土地使用证明吗",1,1,"38,47"
"我替我家里来办,要乡镇及以上政府或规划部门的批复文件吗",1,1,"11,28"
"带什么呢,我是军队的",1,1,"6,24"
"要乡镇及以上政府或规划部门的批复文件吗,要建设工程规划许可证及附件吗",1,1,"28,55"
"我需要要带有效营业执照复印件吗,这房子是我租的",1,1,"19,45"
"我是非居民,我是代表我们公司来的",1,1,"17,20"
"我需要拿户口簿吗,委托授权书也要吗",1,1,"10,13"
"我需要要带有业执照复印件吗,方案答复具体指什么",1,1,"21,58"
"要土地租赁协议及产权人同意报装证明材料吗,是国家优惠电价",1,1,"48,50"
"我这算是私人宅基地建筑,需要带着客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗",1,1,"15,43"
"要土地租赁协议及产权人同意报装证明材料吗,请问要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"48,49"
"国家给了优惠,是不是也要主体证明",1,1,"33,38"
"外部工程施工具体指什么,要项目立项及批复吗",1,1,"35,52"
"我在我们村里办电,要租赁协议复印件及产权人同意报装证明材料吗",1,1,"27,46"
"要带事业法人证书或组织机构代码证复印件吗,我需要带建设工程规划许可证及附件吗",1,1,"23,55"
"我需要拿户口簿吗,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户",1,1,"10,56"
"要带事业法人证书或组织机构代码证复印件吗,我是军队的",1,1,"23,24"
"我替我朋友来办,我是做钢铁的",1,1,"11,56"
"需要带立项文件吗,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗",1,1,"31,51"
"我是代表公司来的,高压",1,1,"20,37"
"护照需要吗,要上级批准文件、立项批准文件吗",1,1,"9,53"
"要立项、规划批复文件吗,需不需要报装申请资料",1,1,"30,42"
"要事业法人证书或组织机构代码证复印件吗,是国家优惠电价",1,1,"23,50"
"是国家优惠价,我需要带着租赁协议复印件及产权人同意报装证明材料吗",1,1,"33,46"
"您好，我想问一下怎么办电呢,要主体证明吗",1,1,"4,38"
"要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,我需要要带有业执照复印件吗",1,1,"18,21"
"要带立项、规划批复文件吗,需要带立项文件吗",1,1,"30,31"
"我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,我需要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"26,57"
"我是代表我们公司来的,外部工程施工指什么",1,1,"20,35"
"委托授权书也要吗,要报装申请资料吗",1,1,"13,42"
"我需要带身份证吗,要带营业执照复印件吗",1,1,"8,21"
"需要带租赁协议复印件吗,我是代表我们公司来的",1,1,"14,20"
"要带营业执照复印件吗,要合法的土地使用证明吗",1,1,"21,47"
"要带规划批复文件吗,要上级批准文件、立项批准文件吗",1,1,"32,53"
"要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"43,57"
"要带事业法人证书或组织机构代码证复印件吗,我是代表机关事业单位来的",1,1,"23,40"
"要立项、规划批复文件吗,要合法的土地使用证明吗",1,1,"30,47"
"我是机关事业单位的,装表接电具体指什么",1,1,"40,59"
"我这算是私人宅基地建筑,我是代表公司来的",1,1,"15,20"
"我是代表学校来的,要带事业法人证书或组织机构代码证复印件吗",1,1,"22,23"
"如何办电？,要合法的土地使用证明吗",1,1,"4,47"
"是我租的房子,要合法的土地使用证明吗",1,1,"45,47"
"要报装申请资料吗,请问要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"42,49"
"要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,要建设工程规划许可证及附件吗",1,1,"26,55"
"外部工程施工具体指什么,要上级批准文件吗",1,1,"35,53"
"需要带着客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,要规划立项",1,1,"43,54"
