id,query,label
53,"我就是用户,需不需要乡镇及以上政府或规划部门的批复文件","1,28"
54,"我就是用户,我这里是新盖的","1,29"
55,"我就是用户,我这里是新建的","1,29"
56,"我就是用户,要立项、规划批复文件吗","1,30"
57,"我就是用户,要带立项、规划批复文件吗","1,30"
58,"我就是用户,需要带立项文件吗","1,31"
59,"我就是用户,要带规划批复文件吗","1,32"
60,"我就是用户,规划批复文件是不是也需要带着？","1,32"
61,"我就是用户,是国家优惠价","1,33"
62,"我就是用户,国家给了优惠","1,33"
63,"我就是用户,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","1,34"
64,"我就是用户,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","1,34"
65,"我就是用户,外部工程施工具体指什么","1,35"
66,"我就是用户,外部工程施工指什么","1,35"
67,"我就是用户,装接电表具体指什么","1,36"
68,"我就是用户,装接电表是？","1,36"
69,"我就是用户,高压","1,37"
70,"我就是用户,2000v","1,37"
71,"我就是用户,要主体证明吗","1,38"
72,"我就是用户,是不是也要主体证明","1,38"
73,"我就是用户,我属于企业","1,39"
74,"我就是用户,我代表公司来的","1,39"
75,"我就是用户,我是机关事业单位的","1,40"
76,"我就是用户,我是代表机关事业单位来的","1,40"
77,"我就是用户,要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","1,41"
78,"我就是用户,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","1,41"
79,"我就是用户,要报装申请资料吗","1,42"
80,"我就是用户,需不需要报装申请资料","1,42"
81,"我就是用户,要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗","1,43"
82,"我就是用户,需要带着客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗","1,43"
83,"我就是用户,要房屋产权证明吗","1,44"
84,"我就是用户,要房屋产权证明嘛","1,44"
85,"我就是用户,这房子是我租的","1,45"
86,"我就是用户,是我租的房子","1,45"
87,"我就是用户,要租赁协议复印件及产权人同意报装证明材料吗","1,46"
88,"我就是用户,我需要带着租赁协议复印件及产权人同意报装证明材料吗","1,46"
89,"我就是用户,要合法的土地使用证明吗","1,47"
90,"我就是用户,要合法的土地使用证明吗","1,47"
91,"我就是用户,要土地租赁协议及产权人同意报装证明材料吗","1,48"
92,"我就是用户,要带着土地租赁协议及产权人同意报装证明材料吗","1,48"
93,"我就是用户,要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗","1,49"
94,"我就是用户,请问要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗","1,49"
95,"我就是用户,是国家优惠电价","1,50"
96,"我就是用户,当时电价有打折","1,50"
97,"我就是用户,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗","1,51"
98,"我就是用户,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗","1,51"
99,"我就是用户,要项目立项及批复吗","1,52"
100,"我就是用户,要带项目立项及批复吗","1,52"
101,"我就是用户,要上级批准文件、立项批准文件吗","1,53"
102,"我就是用户,要上级批准文件吗","1,53"
103,"我就是用户,要规划立项","1,54"
104,"我就是用户,要建设工程规划许可证及附件吗","1,55"
105,"我就是用户,我需要带建设工程规划许可证及附件吗","1,55"
106,"我就是用户,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户","1,56"
107,"我就是用户,我是做钢铁的","1,56"
108,"我就是用户,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗","1,57"
109,"我就是用户,我需要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗","1,57"
110,"我就是用户,方案答复具体指什么","1,58"
111,"我就是用户,方案答复这一步我需要做什么？","1,58"
112,"我就是用户,装表接电具体指什么","1,59"
113,"我就是用户,装表接电是？","1,59"
114,"999v电,我是小区居民","2,3"
115,"999v电,我是小区用户","2,3"
116,"10v电,我是小区居民","2,3"
117,"10v电,我是小区用户","2,3"
118,"999v电,您好，我想问一下怎么办电呢","2,4"
119,"999v电,如何办电？","2,4"
120,"10v电,您好，我想问一下怎么办电呢","2,4"
121,"10v电,如何办电？","2,4"
122,"999v电,申请受理这一步包括什么","2,5"
123,"999v电,申请受理，我要怎么做","2,5"
124,"10v电,申请受理这一步包括什么","2,5"
125,"10v电,申请受理，我要怎么做","2,5"
126,"999v电,需要带什么吗","2,6"
127,"999v电,带什么","2,6"
128,"10v电,需要带什么吗","2,6"
129,"10v电,带什么","2,6"
130,"999v电,我需要带客户有效身份证明吗","2,7"
131,"999v电,要带客户有效身份证明吗","2,7"
132,"10v电,我需要带客户有效身份证明吗","2,7"
133,"10v电,要带客户有效身份证明吗","2,7"
134,"999v电,我需要带身份证吗","2,8"
135,"999v电,要带身份证吗","2,8"
136,"10v电,我需要带身份证吗","2,8"
137,"10v电,要带身份证吗","2,8"
138,"999v电,我需要带护照吗","2,9"
139,"999v电,护照需要吗","2,9"
140,"10v电,我需要带护照吗","2,9"
141,"10v电,护照需要吗","2,9"
142,"999v电,我需要带户口簿吗","2,10"
143,"999v电,我需要拿户口簿吗","2,10"
144,"10v电,我需要带户口簿吗","2,10"
145,"10v电,我需要拿户口簿吗","2,10"
146,"999v电,我替我朋友来办","2,11"
147,"999v电,我替我家里来办","2,11"
148,"10v电,我替我朋友来办","2,11"
149,"10v电,我替我家里来办","2,11"
150,"999v电,要带委托人的身份证明吗","2,12"
151,"999v电,委托人的身份证明需要吗","2,12"
152,"10v电,要带委托人的身份证明吗","2,12"
153,"10v电,委托人的身份证明需要吗","2,12"
154,"999v电,要带委托授权书吗","2,13"
155,"999v电,委托授权书也要吗","2,13"
156,"10v电,要带委托授权书吗","2,13"
157,"10v电,委托授权书也要吗","2,13"
158,"999v电,需要带房产证吗","2,14"
159,"999v电,需要带租赁协议复印件吗","2,14"
160,"10v电,需要带房产证吗","2,14"
161,"10v电,需要带租赁协议复印件吗","2,14"
162,"999v电,我这算是私人宅基地建筑","2,15"
163,"999v电,我家属于宅基地","2,15"
164,"10v电,我这算是私人宅基地建筑","2,15"
165,"10v电,我家属于宅基地","2,15"
166,"999v电,需要带政府的批复文件吗","2,16"
167,"999v电,需要带规划部门的批复文件吗","2,16"
168,"10v电,需要带政府的批复文件吗","2,16"
169,"10v电,需要带规划部门的批复文件吗","2,16"
170,"999v电,我是非居民","2,17"
171,"999v电,我不是居民","2,17"
172,"10v电,我是非居民","2,17"
173,"10v电,我不是居民","2,17"
174,"999v电,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","2,18"
175,"999v电,我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","2,18"
176,"10v电,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","2,18"
177,"10v电,我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","2,18"
178,"999v电,要带有效营业执照复印件吗","2,19"
179,"999v电,我需要要带有效营业执照复印件吗","2,19"
180,"10v电,要带有效营业执照复印件吗","2,19"
181,"10v电,我需要要带有效营业执照复印件吗","2,19"
182,"999v电,我是代表公司来的","2,20"
183,"999v电,我是代表我们公司来的","2,20"
184,"10v电,我是代表公司来的","2,20"
185,"10v电,我是代表我们公司来的","2,20"
186,"999v电,要带营业执照复印件吗","2,21"
187,"999v电,我需要要带有业执照复印件吗","2,21"
188,"10v电,要带营业执照复印件吗","2,21"
189,"10v电,我需要要带有业执照复印件吗","2,21"
190,"999v电,我是机关事业单位的","2,40"
191,"999v电,我是代表学校来的","2,22"
192,"10v电,我是机关事业单位的","2,40"
193,"10v电,我是代表学校来的","2,22"
194,"999v电,要事业法人证书或组织机构代码证复印件吗","2,23"
195,"999v电,要带事业法人证书或组织机构代码证复印件吗","2,23"
196,"10v电,要事业法人证书或组织机构代码证复印件吗","2,23"
197,"10v电,要带事业法人证书或组织机构代码证复印件吗","2,23"
198,"999v电,我是军队的","2,24"
199,"999v电,我是军队的","2,24"
200,"10v电,我是军队的","2,24"
201,"10v电,我是军队的","2,24"
202,"999v电,要团级及以上证明吗","2,25"
203,"999v电,是不是需要团级及以上证明","2,25"
204,"10v电,要团级及以上证明吗","2,25"
205,"10v电,是不是需要团级及以上证明","2,25"
206,"999v电,要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","2,26"
207,"999v电,我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","2,26"
208,"10v电,要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","2,26"
209,"10v电,我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","2,26"
210,"999v电,我在我们村里办电","2,27"
211,"999v电,我家是农村的","2,27"
212,"10v电,我在我们村里办电","2,27"
213,"10v电,我家是农村的","2,27"
214,"999v电,要乡镇及以上政府或规划部门的批复文件吗","2,28"
215,"999v电,需不需要乡镇及以上政府或规划部门的批复文件","2,28"
216,"10v电,要乡镇及以上政府或规划部门的批复文件吗","2,28"
217,"10v电,需不需要乡镇及以上政府或规划部门的批复文件","2,28"
218,"999v电,我这里是新盖的","2,29"
219,"999v电,我这里是新建的","2,29"
220,"10v电,我这里是新盖的","2,29"
221,"10v电,我这里是新建的","2,29"
222,"999v电,要立项、规划批复文件吗","2,30"
223,"999v电,要带立项、规划批复文件吗","2,30"
224,"10v电,要立项、规划批复文件吗","2,30"
225,"10v电,要带立项、规划批复文件吗","2,30"
226,"999v电,需要带立项文件吗","2,31"
227,"10v电,需要带立项文件吗","2,31"
228,"999v电,要带规划批复文件吗","2,32"
229,"999v电,规划批复文件是不是也需要带着？","2,32"
230,"10v电,要带规划批复文件吗","2,32"
231,"10v电,规划批复文件是不是也需要带着？","2,32"
232,"999v电,是国家优惠价","2,33"
233,"999v电,国家给了优惠","2,33"
234,"10v电,是国家优惠价","2,33"
235,"10v电,国家给了优惠","2,33"
236,"999v电,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","2,34"
237,"999v电,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","2,34"
238,"10v电,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","2,34"
239,"10v电,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","2,34"
240,"999v电,外部工程施工具体指什么","2,35"
241,"999v电,外部工程施工指什么","2,35"
242,"10v电,外部工程施工具体指什么","2,35"
243,"10v电,外部工程施工指什么","2,35"
244,"999v电,装接电表具体指什么","2,36"
245,"999v电,装接电表是？","2,36"
246,"10v电,装接电表具体指什么","2,36"
247,"10v电,装接电表是？","2,36"
248,"999v电,高压","2,37"
249,"999v电,2000v","2,37"
250,"10v电,高压","2,37"
251,"10v电,2000v","2,37"
252,"999v电,要主体证明吗","2,38"
253,"999v电,是不是也要主体证明","2,38"
254,"10v电,要主体证明吗","2,38"
255,"10v电,是不是也要主体证明","2,38"
256,"999v电,我属于企业","2,39"
257,"999v电,我代表公司来的","2,39"
258,"10v电,我属于企业","2,39"
259,"10v电,我代表公司来的","2,39"
260,"999v电,我是机关事业单位的","2,40"
261,"999v电,我是代表机关事业单位来的","2,40"
262,"10v电,我是机关事业单位的","2,40"
263,"10v电,我是代表机关事业单位来的","2,40"
264,"999v电,要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","2,41"
265,"999v电,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","2,41"
266,"10v电,要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","2,41"
267,"10v电,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","2,41"
268,"999v电,要报装申请资料吗","2,42"
269,"999v电,需不需要报装申请资料","2,42"
270,"10v电,要报装申请资料吗","2,42"
271,"10v电,需不需要报装申请资料","2,42"
272,"999v电,要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗","2,43"
273,"999v电,需要带着客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗","2,43"
274,"10v电,要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗","2,43"
275,"10v电,需要带着客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗","2,43"
276,"999v电,要房屋产权证明吗","2,44"
277,"999v电,要房屋产权证明嘛","2,44"
278,"10v电,要房屋产权证明吗","2,44"
279,"10v电,要房屋产权证明嘛","2,44"
280,"999v电,这房子是我租的","2,45"
281,"999v电,是我租的房子","2,45"
282,"10v电,这房子是我租的","2,45"
283,"10v电,是我租的房子","2,45"
284,"999v电,要租赁协议复印件及产权人同意报装证明材料吗","2,46"
285,"999v电,我需要带着租赁协议复印件及产权人同意报装证明材料吗","2,46"
286,"10v电,要租赁协议复印件及产权人同意报装证明材料吗","2,46"
287,"10v电,我需要带着租赁协议复印件及产权人同意报装证明材料吗","2,46"
288,"999v电,要合法的土地使用证明吗","2,47"
289,"999v电,要合法的土地使用证明吗","2,47"
290,"10v电,要合法的土地使用证明吗","2,47"
291,"10v电,要合法的土地使用证明吗","2,47"
292,"999v电,要土地租赁协议及产权人同意报装证明材料吗","2,48"
293,"999v电,要带着土地租赁协议及产权人同意报装证明材料吗","2,48"
294,"10v电,要土地租赁协议及产权人同意报装证明材料吗","2,48"
295,"10v电,要带着土地租赁协议及产权人同意报装证明材料吗","2,48"
296,"999v电,要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗","2,49"
297,"999v电,请问要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗","2,49"
298,"10v电,要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗","2,49"
299,"10v电,请问要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗","2,49"
300,"999v电,是国家优惠电价","2,50"
301,"999v电,当时电价有打折","2,50"
302,"10v电,是国家优惠电价","2,50"
303,"10v电,当时电价有打折","2,50"
304,"999v电,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗","2,51"
305,"999v电,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗","2,51"
306,"10v电,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗","2,51"
307,"10v电,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗","2,51"
308,"999v电,要项目立项及批复吗","2,52"
309,"999v电,要带项目立项及批复吗","2,52"
310,"10v电,要项目立项及批复吗","2,52"
311,"10v电,要带项目立项及批复吗","2,52"
312,"999v电,要上级批准文件、立项批准文件吗","2,53"
313,"999v电,要上级批准文件吗","2,53"
314,"10v电,要上级批准文件、立项批准文件吗","2,53"
315,"10v电,要上级批准文件吗","2,53"
316,"999v电,要规划立项","2,54"
317,"10v电,要规划立项","2,54"
318,"999v电,要建设工程规划许可证及附件吗","2,55"
319,"999v电,我需要带建设工程规划许可证及附件吗","2,55"
320,"10v电,要建设工程规划许可证及附件吗","2,55"
321,"10v电,我需要带建设工程规划许可证及附件吗","2,55"
322,"999v电,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户","2,56"
323,"999v电,我是做钢铁的","2,56"
324,"10v电,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户","2,56"
325,"10v电,我是做钢铁的","2,56"
326,"999v电,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗","2,57"
327,"999v电,我需要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗","2,57"
328,"10v电,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗","2,57"
329,"10v电,我需要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗","2,57"
330,"999v电,方案答复具体指什么","2,58"
331,"999v电,方案答复这一步我需要做什么？","2,58"
332,"10v电,方案答复具体指什么","2,58"
333,"10v电,方案答复这一步我需要做什么？","2,58"
334,"999v电,装表接电具体指什么","2,59"
335,"999v电,装表接电是？","2,59"
336,"10v电,装表接电具体指什么","2,59"
337,"10v电,装表接电是？","2,59"
338,"我是小区居民,您好，我想问一下怎么办电呢","3,4"
339,"我是小区居民,如何办电？","3,4"
340,"我是小区用户,您好，我想问一下怎么办电呢","3,4"
341,"我是小区用户,如何办电？","3,4"
342,"我是小区居民,申请受理这一步包括什么","3,5"
343,"我是小区居民,申请受理，我要怎么做","3,5"
344,"我是小区用户,申请受理这一步包括什么","3,5"
345,"我是小区用户,申请受理，我要怎么做","3,5"
346,"我是小区居民,需要带什么吗","3,6"
347,"我是小区居民,带什么","3,6"
348,"我是小区用户,需要带什么吗","3,6"
349,"我是小区用户,带什么","3,6"
350,"我是小区居民,我需要带客户有效身份证明吗","3,7"
351,"我是小区居民,要带客户有效身份证明吗","3,7"
352,"我是小区用户,我需要带客户有效身份证明吗","3,7"
353,"我是小区用户,要带客户有效身份证明吗","3,7"
354,"我是小区居民,我需要带身份证吗","3,8"
355,"我是小区居民,要带身份证吗","3,8"
356,"我是小区用户,我需要带身份证吗","3,8"
357,"我是小区用户,要带身份证吗","3,8"
358,"我是小区居民,我需要带护照吗","3,9"
359,"我是小区居民,护照需要吗","3,9"
360,"我是小区用户,我需要带护照吗","3,9"
361,"我是小区用户,护照需要吗","3,9"
362,"我是小区居民,我需要带户口簿吗","3,10"
363,"我是小区居民,我需要拿户口簿吗","3,10"
364,"我是小区用户,我需要带户口簿吗","3,10"
365,"我是小区用户,我需要拿户口簿吗","3,10"
366,"我是小区居民,我替我朋友来办","3,11"
367,"我是小区居民,我替我家里来办","3,11"
368,"我是小区用户,我替我朋友来办","3,11"
369,"我是小区用户,我替我家里来办","3,11"
370,"我是小区居民,要带委托人的身份证明吗","3,12"
371,"我是小区居民,委托人的身份证明需要吗","3,12"
372,"我是小区用户,要带委托人的身份证明吗","3,12"
373,"我是小区用户,委托人的身份证明需要吗","3,12"
374,"我是小区居民,要带委托授权书吗","3,13"
375,"我是小区居民,委托授权书也要吗","3,13"
376,"我是小区用户,要带委托授权书吗","3,13"
377,"我是小区用户,委托授权书也要吗","3,13"
378,"我是小区居民,需要带房产证吗","3,14"
379,"我是小区居民,需要带租赁协议复印件吗","3,14"
380,"我是小区用户,需要带房产证吗","3,14"
381,"我是小区用户,需要带租赁协议复印件吗","3,14"
382,"我是小区居民,我这算是私人宅基地建筑","3,15"
383,"我是小区居民,我家属于宅基地","3,15"
384,"我是小区用户,我这算是私人宅基地建筑","3,15"
385,"我是小区用户,我家属于宅基地","3,15"
386,"我是小区居民,需要带政府的批复文件吗","3,16"
387,"我是小区居民,需要带规划部门的批复文件吗","3,16"
388,"我是小区用户,需要带政府的批复文件吗","3,16"
389,"我是小区用户,需要带规划部门的批复文件吗","3,16"
390,"我是小区居民,我是非居民","3,17"
391,"我是小区居民,我不是居民","3,17"
392,"我是小区用户,我是非居民","3,17"
393,"我是小区用户,我不是居民","3,17"
394,"我是小区居民,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","3,18"
395,"我是小区居民,我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","3,18"
396,"我是小区用户,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","3,18"
397,"我是小区用户,我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","3,18"
398,"我是小区居民,要带有效营业执照复印件吗","3,19"
399,"我是小区居民,我需要要带有效营业执照复印件吗","3,19"
400,"我是小区用户,要带有效营业执照复印件吗","3,19"
401,"我是小区用户,我需要要带有效营业执照复印件吗","3,19"
402,"我是小区居民,我是代表公司来的","3,20"
403,"我是小区居民,我是代表我们公司来的","3,20"
404,"我是小区用户,我是代表公司来的","3,20"
405,"我是小区用户,我是代表我们公司来的","3,20"
406,"我是小区居民,要带营业执照复印件吗","3,21"
407,"我是小区居民,我需要要带有业执照复印件吗","3,21"
408,"我是小区用户,要带营业执照复印件吗","3,21"
409,"我是小区用户,我需要要带有业执照复印件吗","3,21"
410,"我是小区居民,我是机关事业单位的","3,40"
411,"我是小区居民,我是代表学校来的","3,22"
412,"我是小区用户,我是机关事业单位的","3,40"
413,"我是小区用户,我是代表学校来的","3,22"
414,"我是小区居民,要事业法人证书或组织机构代码证复印件吗","3,23"
415,"我是小区居民,要带事业法人证书或组织机构代码证复印件吗","3,23"
416,"我是小区用户,要事业法人证书或组织机构代码证复印件吗","3,23"
417,"我是小区用户,要带事业法人证书或组织机构代码证复印件吗","3,23"
418,"我是小区居民,我是军队的","3,24"
419,"我是小区居民,我是军队的","3,24"
420,"我是小区用户,我是军队的","3,24"
421,"我是小区用户,我是军队的","3,24"
422,"我是小区居民,要团级及以上证明吗","3,25"
423,"我是小区居民,是不是需要团级及以上证明","3,25"
424,"我是小区用户,要团级及以上证明吗","3,25"
425,"我是小区用户,是不是需要团级及以上证明","3,25"
426,"我是小区居民,要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","3,26"
427,"我是小区居民,我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","3,26"
428,"我是小区用户,要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","3,26"
429,"我是小区用户,我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","3,26"
430,"我是小区居民,我在我们村里办电","3,27"
431,"我是小区居民,我家是农村的","3,27"
432,"我是小区用户,我在我们村里办电","3,27"
433,"我是小区用户,我家是农村的","3,27"
434,"我是小区居民,要乡镇及以上政府或规划部门的批复文件吗","3,28"
435,"我是小区居民,需不需要乡镇及以上政府或规划部门的批复文件","3,28"
436,"我是小区用户,要乡镇及以上政府或规划部门的批复文件吗","3,28"
437,"我是小区用户,需不需要乡镇及以上政府或规划部门的批复文件","3,28"
438,"我是小区居民,我这里是新盖的","3,29"
439,"我是小区居民,我这里是新建的","3,29"
440,"我是小区用户,我这里是新盖的","3,29"
441,"我是小区用户,我这里是新建的","3,29"
442,"我是小区居民,要立项、规划批复文件吗","3,30"
443,"我是小区居民,要带立项、规划批复文件吗","3,30"
444,"我是小区用户,要立项、规划批复文件吗","3,30"
445,"我是小区用户,要带立项、规划批复文件吗","3,30"
446,"我是小区居民,需要带立项文件吗","3,31"
447,"我是小区用户,需要带立项文件吗","3,31"
448,"我是小区居民,要带规划批复文件吗","3,32"
449,"我是小区居民,规划批复文件是不是也需要带着？","3,32"
450,"我是小区用户,要带规划批复文件吗","3,32"
451,"我是小区用户,规划批复文件是不是也需要带着？","3,32"
452,"我是小区居民,是国家优惠价","3,33"
453,"我是小区居民,国家给了优惠","3,33"
454,"我是小区用户,是国家优惠价","3,33"
455,"我是小区用户,国家给了优惠","3,33"
456,"我是小区居民,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","3,34"
457,"我是小区居民,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","3,34"
458,"我是小区用户,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","3,34"
459,"我是小区用户,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","3,34"
460,"我是小区居民,外部工程施工具体指什么","3,35"
461,"我是小区居民,外部工程施工指什么","3,35"
462,"我是小区用户,外部工程施工具体指什么","3,35"
463,"我是小区用户,外部工程施工指什么","3,35"
464,"我是小区居民,装接电表具体指什么","3,36"
465,"我是小区居民,装接电表是？","3,36"
466,"我是小区用户,装接电表具体指什么","3,36"
467,"我是小区用户,装接电表是？","3,36"
468,"我是小区居民,高压","3,37"
469,"我是小区居民,2000v","3,37"
470,"我是小区用户,高压","3,37"
471,"我是小区用户,2000v","3,37"
472,"我是小区居民,要主体证明吗","3,38"
473,"我是小区居民,是不是也要主体证明","3,38"
474,"我是小区用户,要主体证明吗","3,38"
475,"我是小区用户,是不是也要主体证明","3,38"
476,"我是小区居民,我属于企业","3,39"
477,"我是小区居民,我代表公司来的","3,39"
478,"我是小区用户,我属于企业","3,39"
479,"我是小区用户,我代表公司来的","3,39"
480,"我是小区居民,我是机关事业单位的","3,40"
481,"我是小区居民,我是代表机关事业单位来的","3,40"
482,"我是小区用户,我是机关事业单位的","3,40"
483,"我是小区用户,我是代表机关事业单位来的","3,40"
484,"我是小区居民,要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","3,41"
